Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
"5304","South-eastern Asia","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","37706.000000","36803.000000","43913.000000","38577.000000","56896.000000","57952.000000","104716.000000","102200.000000","149972.000000","177353.000000","152724.000000","219000.000000","265708.000000","284325.000000","264841.000000","267594.000000","280954.000000","363153.000000","427542.000000","426971.000000","444844.000000","413160.000000","500798.000000","609521.000000","610698.000000","661120.000000","819456.000000","1017774.000000","989786.000000","1070146.000000","1047318.000000","1111552.000000","1133789.000000","1410702.000000","1394774.000000","1447500.000000","1466640.000000","1652516.000000","1791039.000000","1721046.000000","1794016.000000","1503192.080000","1683334.190000","2503557.930000","2046289.570000","2310678.270000","3124068.900000","3032448.500000","1885947.060000","2973081.940000","3468445.940000","3345240.810000","3838420.760000","4161526.210000","3990168.110000","3952541.780000","4791317.260000","4709002.120000"
"5305","Western Asia","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","37651.000000","50721.000000","52764.000000","55245.000000","56640.000000","82042.000000","120691.000000","141639.000000","168465.000000","237072.000000","351118.000000","561687.000000","581609.000000","655754.000000","726637.000000","723358.000000","881614.000000","1169468.000000","1497312.000000","1757355.000000","1423254.000000","1602314.000000","1875452.000000","2259024.000000","2310460.000000","2404838.000000","2589724.000000","2897359.000000","3091853.000000","2930761.000000","2348914.000000","2843366.000000","3283469.000000","3236000.000000","3573200.000000","3558960.000000","3819000.000000","4243835.000000","4050033.000000","3906589.000000","4301879.000000","4765250.890000","4519740.130000","4762629.710000","5737785.950000","6267204.680000","6676956.840000","6780682.310000","6837957.570000","7507281.980000","7468474.070000","8056530.310000","9994168.380000","8629149.600000","9345578.300000","9958115.310000","9579040.800000","10223679.980000"
"5305","Western Asia","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","67389.000000","42265.000000","61082.000000","45946.000000","72929.000000","106805.000000","149946.000000","217045.000000","261379.000000","229665.000000","295375.000000","451443.000000","552732.000000","185489.000000","365212.000000","574749.000000","409108.000000","554121.000000","586351.000000","460248.000000","293714.000000","313694.000000","442985.000000","497130.000000","506448.000000","413159.000000","937141.000000","586024.000000","631348.000000","597676.000000","607612.000000","603299.000000","753212.000000","443248.000000","698648.000000","657991.000000","666416.000000","862061.000000","905106.000000","1299620.000000","798065.000000","975644.870000","1123253.350000","1392324.630000","1330445.060000","1431100.190000","1306867.210000","1186315.260000","1532596.150000","1302088.200000","1165536.430000","1279337.150000","1581255.710000","1777144.100000","1533466.610000","2067744.090000","2245063.660000","1826848.450000"
"5305","Western Asia","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","537.000000",,"2076.000000","1700.000000",,"15868.000000","56460.000000","72855.000000","83091.000000","117100.000000","227460.000000","360243.000000","383620.000000","419255.000000","356791.000000","451714.000000","484797.000000","716269.000000","875430.000000","1006220.000000","583300.000000","649636.000000","844443.000000","1206315.000000","1196257.000000","1462164.000000","1512625.000000","1780220.000000","1964109.000000","1453491.000000","1148003.000000","1267593.000000","1675300.000000","2032154.000000","2064857.000000","2032450.000000","2186369.000000","2598070.000000","2774225.000000","2675004.000000","2897224.000000","2265869.270000","2381570.470000","2607825.060000","3290771.270000","4487990.040000","4656603.010000","4882055.060000","4721225.820000","5716651.330000","5641603.770000","5990769.520000","7164576.380000","6492129.530000","7710401.090000","7740018.140000","8204113.430000","7932028.290000"
"5305","Western Asia","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","104684.000000","84177.000000","107246.000000","110775.000000","135944.000000","163453.000000","212745.000000","274833.000000","321414.000000","349820.000000","414629.000000","504112.000000","579286.000000","415937.000000","620412.000000","795728.000000","877775.000000","1042495.000000","938532.000000","1059356.000000","1067940.000000","1184872.000000","1411198.000000","1432098.000000","1449297.000000","1504317.000000","1778549.000000","1751903.000000","1810388.000000","1903529.000000","1759002.000000","2038639.000000","2221512.000000","1848489.000000","1877228.000000","1985145.000000","2041222.000000","2274257.000000","2396726.000000","2276214.000000","2233762.000000","2339067.570000","2033545.230000","2147813.220000","2179715.640000","2283022.490000","2216295.760000","1926698.550000","2231850.420000","1971407.410000","1916880.460000","2079898.410000","2254380.600000","2051516.670000","2087090.740000","2651546.670000","2469715.320000","2267953.150000"
"5305","Western Asia","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","28930.000000","48573.000000","51063.000000","52300.000000","60838.000000","61585.000000","70550.000000","86561.000000","90522.000000","116445.000000","160050.000000","185957.000000","181116.000000","374564.000000","448022.000000","429573.000000","340031.000000","367683.000000","398622.000000","721643.000000","599320.000000","701223.000000","1109923.000000","1252827.000000","1351907.000000","1342879.000000","1456965.000000","1566744.000000","1323433.000000","1274164.000000","1100764.000000","1381805.000000","1351300.000000","1206421.000000","1265402.000000","1361940.000000","1434226.000000","1537702.000000","1402300.000000","1296834.000000","1291432.000000","1263052.470000","1366695.900000","1394783.880000","1454728.920000","1474600.190000","1531513.770000","1436055.780000","1146635.920000","1583076.270000","1669628.210000","2075753.400000","2182983.590000","2180229.180000","2627826.360000","2568625.380000","2789027.800000","2754575.910000"
"5305","Western Asia","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","24988.000000","35328.000000","32443.000000","25594.000000","61794.000000","77666.000000","114761.000000","206744.000000","146710.000000","108719.000000","108928.000000","175329.000000","307947.000000","82604.000000","40193.000000","280789.000000","266503.000000","439221.000000","431258.000000","502891.000000","85935.000000","70484.000000","141889.000000","204796.000000","316824.000000","306055.000000","476902.000000","541181.000000","543500.000000","490180.000000","483221.000000","404630.000000","628906.000000","282506.000000","331693.000000","221859.000000","284818.000000","317092.000000","326790.000000","400602.000000","264521.000000","211240.060000","288262.110000","434231.800000","551407.580000","388796.260000","287124.780000","229459.080000","413561.970000","308368.130000","303275.110000","325786.210000","359607.540000","367608.590000","398057.840000","704105.130000","690538.450000","520095.400000"
"5305","Western Asia","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","2345.000000","599.000000","2627.000000","4085.000000","2000.000000","3000.000000","5445.000000","14615.000000","8125.000000","9850.000000","25650.000000","34975.000000","44639.000000","115575.000000","76335.000000","42090.000000","88300.000000","75000.000000","97000.000000","132900.000000","99178.000000","223500.000000","408604.000000","550563.000000","638825.000000","761068.000000","906666.000000","1038385.000000","716154.000000","657604.000000","507216.000000","612292.000000","538600.000000","646045.000000","607017.000000","618946.000000","565800.000000","716044.000000","689700.000000","588684.000000","590190.000000","409791.370000","452026.300000","540140.070000","517294.640000","626059.120000","683399.010000","688674.620000","470331.920000","721934.480000","715983.460000","1065192.380000","1412249.800000","1650454.950000","1783738.830000","1608028.000000","1853908.460000","2277729.230000"
"5305","Western Asia","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","50696.000000","66916.000000","91535.000000","77239.000000","101527.000000","125101.000000","167864.000000","225951.000000","252057.000000","239685.000000","256627.000000","301831.000000","349618.000000","283666.000000","454248.000000","607308.000000","631013.000000","794686.000000","723929.000000","737944.000000","610924.000000","713893.000000","847734.000000","850037.000000","802504.000000","904700.000000","970223.000000","901686.000000","1003786.000000","1059210.000000","1032901.000000","1185984.000000","1309293.000000","933004.000000","975323.000000","1022919.000000","1043990.000000","1139164.000000","1066498.000000","1053321.000000","891536.000000","870651.490000","892103.440000","914656.990000","978197.840000","938666.640000","878522.780000","625555.320000","855800.440000","758387.520000","749169.910000","787103.280000","859819.330000","716327.680000","731182.790000","963937.250000","959918.680000","724179.240000"
"5305","Western Asia","3104","Nutrient potash K2O (total)","5510","Production","tonnes","85095.000000","101626.000000","120048.000000","228000.000000","314760.000000","297070.000000","329400.000000","343430.000000","434930.000000","575840.000000","552050.000000","621590.000000","514840.000000","653920.000000","712480.000000","644770.000000","683200.000000","675758.000000","791800.000000","811800.000000","884900.000000","945960.000000","1110000.000000","1418000.000000","1683520.000000","1902400.000000","1972000.000000","2023400.000000","2111400.000000","2137591.000000","2068442.000000","2075612.000000","2174057.000000","2220200.000000","2402000.000000","2562200.000000","2342405.000000","2584169.000000","2781700.000000","2909393.000000","2951921.000000","2904298.070000","2885310.290000","3169890.380000","2859414.570000","2332221.220000","3198374.640000","3321847.390000","1665025.670000","3380209.620000","3507369.340000","2964776.780000","2977700.000000","3473447.620000","2870009.650000","3133032.000000","3622929.260000","3680625.020000"
